Ticker,Name,Sector
2181,PERSOL HOLDINGS LTD,Industrials
4927,POLA ORBIS HOLDINGS INC,Consumer Staples
9987,SUZUKEN LTD,Health Care
2331,SOHGO SECURITY SERVICES LTD,Industrials
4768,OTSUKA CORP,Information Technology
5947,RINNAI CORP,Consumer Discretionary
4716,ORACLE JAPAN CORP,Information Technology
9989,SUNDRUG LTD,Consumer Staples
4666,PARK24 LTD,Industrials
8036,HITACHI HIGH TECHNOLOGIES CORP,Information Technology
9435,HIKARI TSUSHIN INC,Consumer Discretionary
7459,MEDIPAL HOLDINGS CORP,Health Care
6952,CASIO COMPUTER LTD,Consumer Discretionary
6481,THK LTD,Industrials
5002,SHOWA SHELL SEKIYU K.K.,Energy
3289,TOKYU FUDOSAN HOLDINGS CORP,Real Estate
9831,YAMADA DENKI LTD,Consumer Discretionary
5711,MITSUBISHI MATERIALS CORP,Materials
3291,IIDA GROUP HOLDINGS LTD,Consumer Discretionary
9101,NIPPON YUSEN,Industrials
6113,AMADA HOLDINGS LTD,Industrials
8729,SONY FINANCIAL HOLDINGS INC,Financials
4202,DAICEL CORP,Materials
2212,YAMAZAKI BAKING LTD,Consumer Staples
5406,KOBE STEEL LTD,Materials
4088,AIR WATER INC,Materials
9104,MITSUI OSK LINES LTD,Industrials
8955,JAPAN PRIME REALTY INVESTMENT REIT,Real Estate
9533,TOHO GAS LTD,Utilities
5901,TOYO SEIKAN GROUP HOLDINGS LTD,Materials
9045,KEIHAN HOLDINGS LTD,Industrials
2229,CALBEE INC,Consumer Staples
2651,LAWSON INC,Consumer Staples
3003,HULIC LTD,Real Estate
9783,BENESSE HOLDINGS INC,Consumer Discretionary
7167,MEBUKI FINANCIAL GROUP INC,Financials
6473,JTEKT CORP,Industrials
6460,SEGA SAMMY HOLDINGS INC,Consumer Discretionary
2875,TOYO SUISAN LTD,Consumer Staples
7205,HINO MOTORS LTD,Industrials
7936,ASICS CORP,Consumer Discretionary
8804,TOKYO TATEMONO LTD,Real Estate
3231,NOMURA REAL ESTATE HOLDINGS INC,Real Estate
5110,SUMITOMO RUBBER INDUSTRIES LTD,Consumer Discretionary
5101,YOKOHAMA RUBBER LTD,Consumer Discretionary
8233,TAKASHIMAYA LTD,Consumer Discretionary
8369,BANK OF KYOTO LTD,Financials
8303,SHINSEI BANK LTD,Financials
8570,AEON FINANCIAL SERVICES LTD,Financials
9364,KAMIGUMI LTD,Industrials
8593,MITSUBISHI UFJ LEASE & FINANCE LTD,Financials
8253,CREDIT SAISON LTD,Financials
4118,KANEKA CORP,Materials
4217,HITACHI CHEMICAL LTD,Materials
2432,DENA LTD,Information Technology
5214,NIPPON ELECTRIC GLASS LTD,Information Technology
6370,KURITA WATER INDUSTRIES LTD,Industrials
2670,ABC MART INC,Consumer Discretionary
8439,TOKYO CENTURY CORP,Financials
6592,MABUCHI MOTOR LTD,Industrials
8905,AEON MALL LTD,Real Estate
5486,HITACHI METALS LTD,Materials
4091,TAIYO NIPPON SANSO CORP,Materials
8227,SHIMAMURA LTD,Consumer Discretionary
7282,TOYODA GOSEI LTD,Consumer Discretionary
8418,YAMAGUCHI FINANCIAL GROUP INC,Financials
9706,JAPAN AIRPORT TERMINAL LTD,Industrials
9143,SG HOLDINGS LTD,Industrials
8410,SEVEN BANK LTD,Financials
5463,MARUICHI STEEL TUBE LTD,Materials
6417,SANKYO LTD,Consumer Discretionary
7240,NOK CORP,Consumer Discretionary
7779,CYBERDYNE INC,Health Care
8358,SURUGA BANK LTD,Financials
8572,ACOM LTD,Financials
